player_name,team_abbreviation,age,draft_number,gp,pts,reb,ast,umapX,umapY,ptsNorm,rebNorm,astNorm
Marreese Speights,GSW,28,16,72,7.1,3.3,0.8,6.211188,7.322326,-0.221259938,-0.133292919,-0.584861596
Marvin Williams,CHA,30,2,81,11.7,6.4,1.4,10.587119,6.7478547,0.593387379,1.155612922,-0.24292409
Mason Plumlee,POR,26,22,82,9.1,7.7,2.8,10.854021,7.8650208,0.132934548,1.696121823,0.554930092
Matt Barnes,MEM,36,45,76,10,5.5,2.1,9.977029,6.761984,0.292322066,0.781414452,0.156003001
Michael Carter-Williams,MIL,24,11,54,11.5,5.1,5.2,9.745481,2.8714378,0.557967931,0.615104021,1.922680117
Meyers Leonard,POR,24,11,61,8.4,5.1,1.5,9.116547,7.8484592,0.008966478,0.615104021,-0.185934505
Matthew Dellavedova,CLE,25,Undrafted,76,7.5,2.1,4.4,6.945161,2.7701564,-0.15042104,-0.632224212,1.466763442
Metta World Peace,LAL,36,16,35,5,2.5,0.8,4.7980123,7.0011034,-0.593164147,-0.465913781,-0.584861596
Markieff Morris,WAS,26,13,64,12,5.5,1.9,10.0356,6.4663687,0.646516552,0.781414452,0.042023832
Michael Beasley,HOU,27,2,20,12.8,4.9,0.8,9.47815,6.9288244,0.788194346,0.531948805,-0.584861596
Matt Bonner,SAS,36,45,30,2.5,0.9,0.3,1.3186358,6.560381,-1.035907254,-1.131155505,-0.869809518
Maurice Harkless,POR,23,15,78,6.4,3.6,0.9,6.76966,8.116046,-0.345228007,-0.008560096,-0.527872012
Marcus Morris,DET,26,14,80,14.1,5.1,2.5,9.984524,6.054829,1.018420762,0.615104021,0.383961339
Mario Hezonja,ORL,21,5,79,6.1,2.2,1.4,5.28317,5.655075,-0.39835718,-0.590646604,-0.24292409
Mario Chalmers,MIA,30,34,61,10.3,2.6,3.8,7.7348485,3.0313885,0.345451239,-0.424336173,1.124825936
Marcus Thornton,WAS,29,43,61,9.7,2.5,1.4,6.996496,5.548941,0.239192894,-0.465913781,-0.24292409
Marcus Smart,BOS,22,6,61,9.1,4.2,3,7.5038714,3.5421088,0.132934548,0.240905551,0.668909261
Marco Belinelli,SAC,30,18,68,10.2,1.7,1.9,6.894959,4.8899045,0.327741515,-0.798534643,0.042023832
Marcin Gortat,WAS,32,57,75,13.5,9.9,1.4,11.815333,6.6615777,0.912162416,2.610829193,-0.24292409
Marcelo Huertas,LAL,33,Undrafted,53,4.5,1.7,3.4,5.881545,3.167788,-0.681712769,-0.798534643,0.896867598
Marc Gasol,MEM,31,48,52,16.6,7,3.8,11.505317,5.1016607,1.461163869,1.405078568,1.124825936
Manu Ginobili,SAS,38,57,58,9.6,2.5,3.1,7.168138,3.4345798,0.221483169,-0.465913781,0.725898845
Luol Deng,MIA,31,7,74,12.3,6,1.9,10.291268,6.555719,0.699645725,0.989302491,0.042023832
Luke Babbitt,NOP,27,16,47,7,3.1,1.1,6.106067,7.136811,-0.238969662,-0.216448135,-0.413892843
Markel Brown,BKN,24,44,62,5.9,2,1.5,5.176812,5.559996,-0.433776629,-0.67380182,-0.185934505
Michael Kidd-Gilchrist,CHA,22,2,7,12.7,6.4,1.3,10.687163,6.6673985,0.770484622,1.155612922,-0.299913674
Nemanja Bjelica,MIN,28,35,60,5.1,3.5,1.4,6.462717,7.84088,-0.575454423,-0.050137703,-0.24292409
Mike Dunleavy,CHI,35,3,31,7.2,2.7,1.3,5.937785,5.9649324,-0.203550213,-0.382758566,-0.299913674
Norris Cole,NOP,27,28,45,10.6,3.4,3.7,7.834236,3.2088878,0.398580412,-0.091715311,1.067836351
Norman Powell,TOR,23,46,49,5.6,2.3,1,4.992627,6.332537,-0.486905802,-0.549068997,-0.470882427
Luis Scola,TOR,36,55,76,8.7,4.8,0.9,8.847094,7.690153,0.062095651,0.490371197,-0.527872012
Noah Vonleh,POR,20,9,78,3.6,3.9,0.4,5.450277,8.786117,-0.841100287,0.116172728,-0.812819934
Nikola Vucevic,ORL,25,16,65,18.2,8.9,2.8,11.869238,5.6390123,1.744519457,2.195053116,0.554930092
Nikola Pekovic,MIN,30,31,12,4.5,1.8,0.9,4.126496,5.9829016,-0.681712769,-0.756957035,-0.527872012
Nikola Mirotic,CHI,25,23,66,11.8,5.5,1.5,10.1797085,6.674696,0.611097103,0.781414452,-0.185934505
Nikola Jokic,DEN,21,41,80,10,7,2.4,10.795966,7.730658,0.292322066,1.405078568,0.326971754
Nik Stauskas,PHI,22,8,73,8.5,2.5,1.9,6.729409,4.7942348,0.026676202,-0.465913781,0.042023832
Nicolas Batum,CHA,27,25,70,14.9,6.1,5.8,10.518448,3.0443826,1.160098556,1.030880098,2.264617624
Nick Young,LAL,31,16,54,7.3,1.8,0.6,5.41507,6.052588,-0.185840489,-0.756957035,-0.698840765
Nick Collison,OKC,35,12,59,2.1,2.9,0.9,4.0541573,7.816594,-1.106746151,-0.29960335,-0.527872012
Mike Conley,MEM,28,4,56,15.3,2.9,6.1,10.175139,2.7880723,1.230937453,-0.29960335,2.435586377
Nerlens Noel,PHI,22,6,67,11.1,8.1,1.8,11.05544,7.537962,0.487129034,1.862432254,-0.014965752
Nazr Mohammed,OKC,38,29,5,1.6,0.8,0,-0.018042048,6.870832,-1.195294773,-1.172733113,-1.040778271
Nate Robinson,NOP,32,21,2,0,0,2,3.5209255,4.797408,-1.478650361,-1.505353975,0.099013417
Myles Turner,IND,20,11,60,10.3,5.5,0.7,9.460743,7.450837,0.345451239,0.781414452,-0.641851181
Montrezl Harrell,HOU,22,32,39,3.6,1.7,0.4,2.8764918,6.5309772,-0.841100287,-0.798534643,-0.812819934
Aaron Brooks,CHI,31,26,69,7.1,1.5,2.6,6.1342425,3.5335026,-0.221259938,-0.881689859,0.440950923
Mo Williams,CLE,33,47,41,8.2,1.8,2.4,6.6221547,3.8052795,-0.026452971,-0.756957035,0.326971754
Mitch McGary,OKC,24,21,20,1.3,0.9,0.2,-0.081498615,6.9987817,-1.248423946,-1.131155505,-0.926799103
Mirza Teletovic,PHX,30,Undrafted,79,12.2,3.8,1.1,8.175791,6.203417,0.681936001,0.07459512,-0.413892843
Miles Plumlee,MIL,27,26,61,5.1,3.8,0.3,5.8535776,8.745996,-0.575454423,0.07459512,-0.869809518
Mike Scott,ATL,27,43,75,6.2,2.7,1,5.819555,6.9053826,-0.380647456,-0.382758566,-0.470882427
Mike Muscala,ATL,24,44,60,3.3,2,0.6,2.9053767,6.6638575,-0.89422946,-0.67380182,-0.698840765
Mike Miller,DEN,36,5,47,1.3,1.1,0.9,2.3646507,5.7633767,-1.248423946,-1.04800029,-0.527872012
Nene,WAS,33,7,57,9.2,4.5,1.7,8.639746,7.2135873,0.150644272,0.365638374,-0.071955337
Luis Montero,POR,23,Undrafted,12,1.2,0.3,0.1,0.009917143,6.5576725,-1.26613367,-1.380621152,-0.983788687
Kevin Garnett,MIN,40,5,38,3.2,3.9,1.6,6.0953135,8.126286,-0.911939184,0.116172728,-0.128944921
Luc Mbah a Moute,LAC,29,37,75,3.1,2.3,0.4,3.2249737,7.337194,-0.929648909,-0.549068997,-0.812819934
Kevin Durant,OKC,27,2,72,28.2,8.2,5,11.378445,4.3825445,3.515491885,1.904009861,1.808700949
Kentavious Caldwell-Pope,DET,23,8,76,14.5,3.7,1.8,8.839151,5.2009344,1.089259659,0.033017512,-0.014965752
Kent Bazemore,ATL,26,Undrafted,75,11.6,5.1,2.3,9.982329,6.3496146,0.575677655,0.615104021,0.26998217
Kenneth Faried,DEN,26,22,67,12.5,8.7,1.2,11.520355,6.7985516,0.735065173,2.1118979,-0.356903259
Kendrick Perkins,NOP,31,27,37,2.5,3.5,0.8,5.167326,8.5492,-1.035907254,-0.050137703,-0.584861596
Kendall Marshall,PHI,24,13,30,3.7,0.9,2.4,4.9356055,3.8312986,-0.823390563,-1.131155505,0.326971754
Kemba Walker,CHA,26,9,81,20.9,4.4,5.2,10.764175,3.7965558,2.222682013,0.324060766,1.922680117
Kelly Oubre Jr.,WAS,20,15,63,3.7,2.1,0.2,3.0740514,7.359614,-0.823390563,-0.632224212,-0.926799103
Kelly Olynyk,BOS,25,13,69,10,4.1,1.5,8.458196,6.9279017,0.292322066,0.199327943,-0.185934505
Keith Appling,ORL,24,Undrafted,5,1.2,0.2,0.2,0.018815432,6.552534,-1.26613367,-1.42219876,-0.926799103
Kawhi Leonard,SAS,25,15,72,21.2,6.8,2.6,11.39591,5.275693,2.275811185,1.321923353,0.440950923
Karl-Anthony Towns,MIN,20,1,82,18.3,10.5,2,11.999295,5.9091473,1.762229181,2.86029484,0.099013417
Kevin Love,CLE,27,5,77,16,9.9,2.4,11.9362545,5.9368334,1.354905523,2.610829193,0.326971754
KJ McDaniels,HOU,23,32,37,2.4,1.1,0.3,1.4851801,6.7082787,-1.053616979,-1.04800029,-0.869809518
Justise Winslow,MIA,20,10,78,6.4,5.2,1.5,8.772013,8.249968,-0.345228007,0.656681629,-0.185934505
Justin Holiday,CHI,27,Undrafted,53,4.5,1.7,1.1,4.0975866,5.9287424,-0.681712769,-0.798534643,-0.413892843
Justin Harper,BKN,26,32,5,2.6,0.2,0,0.60234815,6.5324283,-1.01819753,-1.42219876,-1.040778271
Justin Anderson,DAL,22,21,55,3.8,2.4,0.5,3.5573328,7.398945,-0.805680839,-0.507491389,-0.755830349
Julius Randle,LAL,21,7,81,11.3,10.2,1.8,11.766211,6.8626986,0.522548482,2.735562017,-0.014965752
Jrue Holiday,NOP,26,17,65,16.8,3,6,10.318425,3.0108545,1.496583317,-0.258025742,2.378596792
Josh Smith,HOU,30,17,55,6,3.5,1.6,6.897482,7.618313,-0.416066905,-0.050137703,-0.128944921
Josh Richardson,MIA,22,40,52,6.6,2.1,1.4,5.3996253,5.6234727,-0.309808559,-0.632224212,-0.24292409
Josh McRoberts,MIA,29,37,42,3.6,2.5,1.9,4.9470363,4.4939833,-0.841100287,-0.465913781,0.042023832
Josh Huestis,OKC,24,29,5,2.8,2,0,2.4208596,7.6721163,-0.982778081,-0.67380182,-1.040778271
O.J. Mayo,MIL,28,3,41,7.8,2.6,2.9,6.8737926,3.5782654,-0.097291868,-0.424336173,0.611919676
Jose Calderon,NYK,34,Undrafted,72,7.6,3.2,4.1,7.1779523,2.9037592,-0.132711316,-0.174870527,1.295794689
